Z,N,BE
46,75,1006.823818
45,78,1006.878
48,71,1006.911122
52,67,1006.985854
47,73,1007.43924
58,65,1007.739
59,65,1007.872
54,66,1008.48372
61,65,1008.63
60,65,1009.625
49,70,1009.851017
51,68,1010.06129
45,79,1010.476
55,66,1010.702594
53,67,1010.84664
50,69,1011.434431
46,76,1013.32895
47,74,1014.26193
48,72,1014.96276
56,66,1015.498232
45,80,1015.75
49,71,1015.95144
57,66,1016.841
54,67,1016.863672
51,69,1017.0762
46,77,1017.213813
52,68,1017.24408
47,75,1019.036476
45,81,1019.088
55,67,1019.816422
48,73,1020.150516
58,66,1020.396
50,70,1020.53904
59,66,1020.75
53,68,1021.416418
61,66,1022.096
60,66,1022.994
62,66,1023.232
46,78,1023.248
45,82,1023.874
49,72,1024.130327
52,69,1024.492843
56,67,1024.615584
47,76,1025.549769
51,70,1026.329986
57,67,1026.508208
50,71,1026.709321
46,79,1027
48,74,1027.760452
54,68,1027.809008
53,69,1029.316806
49,73,1029.938396
58,67,1030.25
47,77,1030.27322
55,68,1030.786617
59,67,1031.184
48,75,1032.633585
46,80,1032.822
51,71,1033.136382
61,67,1033.216
63,67,1033.63
60,67,1033.653
52,70,1034.33308
62,67,1034.709
50,72,1035.524654
54,69,1035.774021
56,68,1036.12168
46,81,1036.193
47,78,1036.66425
49,74,1037.867358
57,68,1038.080375
53,70,1039.251354
55,69,1039.545568
48,76,1039.99234
47,79,1040.886
52,71,1041.262158
50,73,1041.470889
46,82,1041.664
51,72,1042.096344
58,68,1042.430382
46,83,1042.836
49,75,1043.378532
59,68,1043.432
48,77,1044.710125
56,69,1044.77225
54,70,1046.25806
61,68,1046.319
60,68,1046.528
47,80,1046.734
53,71,1046.744636
63,68,1047.345
57,69,1047.365676
62,68,1048.32
51,73,1048.56384
50,74,1049.960204
55,70,1049.9735
52,72,1050.686596
47,81,1051.008
49,76,1051.0565
58,69,1051.660457
48,78,1051.690122
59,69,1053.300864
54,71,1053.86125
50,75,1055.69375
56,70,1055.844468
48,79,1056.252015
53,72,1056.2875
47,82,1056.381
49,77,1056.423942
60,69,1056.51
61,69,1056.9
52,73,1057.255625
51,74,1057.27125
47,83,1058.2
55,71,1058.307768
57,70,1058.35958
63,69,1058.376
