Z,A,BE
56,122,1015.498232
57,122,1004.67
58,122,997.106
59,122,983.442
46,123,1017.456
47,123,1025.943
48,123,1032.530634
49,123,1037.863176
50,123,1041.475194
51,123,1042.096467
52,123,1041.261912
53,123,1039.250985
54,123,1035.773898
55,123,1030.786617
56,123,1024.615584
57,123,1016.841
58,123,1007.616
59,123,996.915
46,124,1023.62
47,124,1030.564
48,124,1040.001392
49,124,1043.385104
50,124,1049.962684
51,124,1048.563964
52,124,1050.685852
53,124,1046.743892
54,124,1046.256696
55,124,1039.545568
56,124,1036.12168
57,124,1026.508208
58,124,1020.272
59,124,1007.872
60,124,998.448
47,125,1037
48,125,1044.7205
49,125,1051.06025
50,125,1055.695875
51,125,1057.2705
52,125,1057.254875
53,125,1056.28675
54,125,1053.86
55,125,1049.973125
56,125,1044.77125
57,125,1038.08025
58,125,1030.25
59,125,1020.625
60,125,1009.625
47,126,1041.264
48,126,1051.760682
49,126,1056.464388
50,126,1063.889064
51,126,1063.48473
52,126,1066.368492
53,126,1063.432062
54,126,1063.907712
55,126,1058.301846
56,126,1055.844468
57,126,1047.365676
58,126,1042.430382
59,126,1031.058
60,126,1022.994
61,126,1008.882
47,127,1047.242
48,127,1056.021764
49,127,1063.707423
50,127,1069.43906
51,127,1071.857648
52,127,1072.656351
53,127,1072.576087
54,127,1071.131335
55,127,1068.268247
56,127,1064.061499
57,127,1058.359326
58,127,1051.656774
59,127,1043.305
60,127,1033.526
61,127,1022.35
47,128,1051.136
48,128,1062.864896
49,128,1069.15264
50,128,1077.34592
51,128,1077.83744
52,128,1081.43872
53,128,1079.402112
54,128,1080.741888
55,128,1076.030848
56,128,1074.71872
57,128,1067.16672
58,128,1063.2864
59,128,1053.300864
60,128,1046.4
61,128,1033.472
62,128,1023.616
47,129,1056.897
48,129,1066.83
49,129,1075.803756
50,129,1082.67636
51,129,1085.927934
52,129,1087.521084
53,129,1088.23884
54,129,1087.6506
55,129,1085.671224
56,129,1082.453061
57,129,1077.932256
58,129,1072.11126
